dx_cd|ICD9|ICD10
V361|OTHER MULTIPLE BIRTH (THREE OR MORE), MATES LIVEBORN AND STILLBORN, BORN BEFORE ADMISSION TO HOSPITAL|PASSENGER IN THREE-WHEELED MOTOR VEHICLE INJURED IN COLLISION WITH OTHER NONMOTOR VEHICLE IN NONTRAFFIC ACCIDENT
V362|OTHER MULTIPLE BIRTH (THREE OR MORE), MATES LIVEBORN AND STILLBORN, BORN OUTSIDE HOSPITAL AND NOT HOSPITALIZED|PERSON ON OUTSIDE OF THREE-WHEELED MOTOR VEHICLE INJURED IN COLLISION WITH OTHER NONMOTOR VEHICLE IN NONTRAFFIC ACCIDENT
V37|OTHER MULTIPLE BIRTH (THREE OR MORE), UNSPECIFIED WHETHER MATES LIVEBORN OR STILLBORN|OCCUPANT OF THREE-WHEELED MOTOR VEHICLE INJURED IN COLLISION WITH FIXED OR STATIONARY OBJECT
V370|OTHER MULTIPLE BIRTH (THREE OR MORE), UNSPECIFIED WHETHER MATES LIVEBORN OR STILLBORN, BORN IN HOSPITAL|DRIVER OF THREE-WHEELED MOTOR VEHICLE INJURED IN COLLISION WITH FIXED OR STATIONARY OBJECT IN NONTRAFFIC ACCIDENT
V371|OTHER MULTIPLE BIRTH (THREE OR MORE), UNSPECIFIED WHETHER MATES LIVEBORN OR STILLBORN, BORN BEFORE ADMISSION TO HOSPITAL|PASSENGER IN THREE-WHEELED MOTOR VEHICLE INJURED IN COLLISION WITH FIXED OR STATIONARY OBJECT IN NONTRAFFIC ACCIDENT
V372|OTHER MULTIPLE BIRTH (THREE OR MORE), UNSPECIFIED WHETHER MATES LIVEBORN OR STILLBORN, BORN OUTSIDE OF HOSPITAL|PERSON ON OUTSIDE OF THREE-WHEELED MOTOR VEHICLE INJURED IN COLLISION WITH FIXED OR STATIONARY OBJECT IN NONTRAFFIC ACCIDENT
V39|LIVEBORN, UNSPECIFIED WHETHER SINGLE, TWIN, OR MULTIPLE|OCCUPANT OF THREE-WHEELED MOTOR VEHICLE INJURED IN OTHER AND UNSPECIFIED TRANSPORT ACCIDENTS
V390|LIVEBORN, UNSPECIFIED WHETHER SINGLE, TWIN OR MULTIPLE, BORN IN HOSPITAL|DRIVER OF THREE-WHEELED MOTOR VEHICLE INJURED IN COLLISION WITH OTHER AND UNSPECIFIED MOTOR VEHICLES IN NONTRAFFIC ACCIDENT
V3900|LIVEBORN, UNSPECIFIED WHETHER SINGLE, TWIN OR MULTIPLE, BORN IN HOSPITAL, DELIVERED WITHOUT MENTION OF CESAREAN SECTION|DRIVER OF THREE-WHEELED MOTOR VEHICLE INJURED IN COLLISION WITH UNSPECIFIED MOTOR VEHICLES IN NONTRAFFIC ACCIDENT
V391|LIVEBORN, UNSPECIFIED WHETHER SINGLE, TWIN OR MULTIPLE, BORN BEFORE ADMISSION TO HOSPITAL|PASSENGER IN THREE-WHEELED MOTOR VEHICLE INJURED IN COLLISION WITH OTHER AND UNSPECIFIED MOTOR VEHICLES IN NONTRAFFIC ACCIDENT
V392|LIVEBORN, UNSPECIFIED WHETHER SINGLE, TWIN OR MULTIPLE, BORN OUTSIDE HOSPITAL AND NOT HOSPITALIZED|UNSPECIFIED OCCUPANT OF THREE-WHEELED MOTOR VEHICLE INJURED IN COLLISION WITH OTHER AND UNSPECIFIED MOTOR VEHICLES IN NONTRAFFIC ACCIDENT
V40|MENTAL AND BEHAVIORAL PROBLEMS|CAR OCCUPANT INJURED IN COLLISION WITH PEDESTRIAN OR ANIMAL
V400|MENTAL AND BEHAVIORAL PROBLEMS WITH LEARNING|CAR DRIVER INJURED IN COLLISION WITH PEDESTRIAN OR ANIMAL IN NONTRAFFIC ACCIDENT
V401|MENTAL AND BEHAVIORAL PROBLEMS WITH COMMUNICATION (INCLUDING SPEECH)|CAR PASSENGER INJURED IN COLLISION WITH PEDESTRIAN OR ANIMAL IN NONTRAFFIC ACCIDENT
V402|OTHER MENTAL PROBLEMS|PERSON ON OUTSIDE OF CAR INJURED IN COLLISION WITH PEDESTRIAN OR ANIMAL IN NONTRAFFIC ACCIDENT
V403|OTHER BEHAVIORAL PROBLEMS|UNSPECIFIED CAR OCCUPANT INJURED IN COLLISION WITH PEDESTRIAN OR ANIMAL IN NONTRAFFIC ACCIDENT
V409|UNSPECIFIED MENTAL OR BEHAVIORAL PROBLEM|UNSPECIFIED CAR OCCUPANT INJURED IN COLLISION WITH PEDESTRIAN OR ANIMAL IN TRAFFIC ACCIDENT
V41|PROBLEMS WITH SPECIAL SENSES AND OTHER SPECIAL FUNCTIONS|CAR OCCUPANT INJURED IN COLLISION WITH PEDAL CYCLE
V410|PROBLEMS WITH SIGHT|CAR DRIVER INJURED IN COLLISION WITH PEDAL CYCLE IN NONTRAFFIC ACCIDENT
V411|OTHER EYE PROBLEMS|CAR PASSENGER INJURED IN COLLISION WITH PEDAL CYCLE IN NONTRAFFIC ACCIDENT
V412|PROBLEMS WITH HEARING|PERSON ON OUTSIDE OF CAR INJURED IN COLLISION WITH PEDAL CYCLE IN NONTRAFFIC ACCIDENT
V413|OTHER EAR PROBLEMS|UNSPECIFIED CAR OCCUPANT INJURED IN COLLISION WITH PEDAL CYCLE IN NONTRAFFIC ACCIDENT
V414|PROBLEMS WITH VOICE PRODUCTION|PERSON BOARDING OR ALIGHTING A CAR INJURED IN COLLISION WITH PEDAL CYCLE
V415|PROBLEMS WITH SMELL AND TASTE|CAR DRIVER INJURED IN COLLISION WITH PEDAL CYCLE IN TRAFFIC ACCIDENT
V416|PROBLEMS WITH SWALLOWING AND MASTICATION|CAR PASSENGER INJURED IN COLLISION WITH PEDAL CYCLE IN TRAFFIC ACCIDENT
V417|PROBLEMS WITH SEXUAL FUNCTION|PERSON ON OUTSIDE OF CAR INJURED IN COLLISION WITH PEDAL CYCLE IN TRAFFIC ACCIDENT
V419|UNSPECIFIED PROBLEM WITH SPECIAL FUNCTIONS|UNSPECIFIED CAR OCCUPANT INJURED IN COLLISION WITH PEDAL CYCLE IN TRAFFIC ACCIDENT
V42|ORGAN OR TISSUE REPLACED BY TRANSPLANT|CAR OCCUPANT INJURED IN COLLISION WITH TWO- OR THREE-WHEELED MOTOR VEHICLE
V420|KIDNEY REPLACED BY TRANSPLANT|CAR DRIVER INJURED IN COLLISION WITH TWO- OR THREE-WHEELED MOTOR VEHICLE IN NONTRAFFIC ACCIDENT
V421|HEART REPLACED BY TRANSPLANT|CAR PASSENGER INJURED IN COLLISION WITH TWO- OR THREE-WHEELED MOTOR VEHICLE IN NONTRAFFIC ACCIDENT
V422|HEART VALVE REPLACED BY TRANSPLANT|PERSON ON OUTSIDE OF CAR INJURED IN COLLISION WITH TWO- OR THREE-WHEELED MOTOR VEHICLE IN NONTRAFFIC ACCIDENT
V423|SKIN REPLACED BY TRANSPLANT|UNSPECIFIED CAR OCCUPANT INJURED IN COLLISION WITH TWO- OR THREE-WHEELED MOTOR VEHICLE IN NONTRAFFIC ACCIDENT
V424|BONE REPLACED BY TRANSPLANT|PERSON BOARDING OR ALIGHTING A CAR INJURED IN COLLISION WITH TWO- OR THREE-WHEELED MOTOR VEHICLE
V425|CORNEA REPLACED BY TRANSPLANT|CAR DRIVER INJURED IN COLLISION WITH TWO- OR THREE-WHEELED MOTOR VEHICLE IN TRAFFIC ACCIDENT
V426|LUNG REPLACED BY TRANSPLANT|CAR PASSENGER INJURED IN COLLISION WITH TWO- OR THREE-WHEELED MOTOR VEHICLE IN TRAFFIC ACCIDENT
V427|LIVER REPLACED BY TRANSPLANT|PERSON ON OUTSIDE OF CAR INJURED IN COLLISION WITH TWO- OR THREE-WHEELED MOTOR VEHICLE IN TRAFFIC ACCIDENT
V429|UNSPECIFIED ORGAN OR TISSUE REPLACED BY TRANSPLANT|UNSPECIFIED CAR OCCUPANT INJURED IN COLLISION WITH TWO- OR THREE-WHEELED MOTOR VEHICLE IN TRAFFIC ACCIDENT
V43|ORGAN OR TISSUE REPLACED BY OTHER MEANS|CAR OCCUPANT INJURED IN COLLISION WITH CAR, PICK-UP TRUCK OR VAN
V430|EYE GLOBE REPLACED BY OTHER MEANS|CAR DRIVER INJURED IN COLLISION WITH CAR, PICK-UP TRUCK OR VAN IN NONTRAFFIC ACCIDENT
V431|LENS REPLACED BY OTHER MEANS|CAR PASSENGER INJURED IN COLLISION WITH CAR, PICK-UP TRUCK OR VAN IN NONTRAFFIC ACCIDENT
V432|HEART REPLACED BY OTHER MEANS|PERSON ON OUTSIDE OF CAR INJURED IN COLLISION WITH CAR, PICK-UP TRUCK OR VAN IN NONTRAFFIC ACCIDENT
V4321|ORGAN OR TISSUE REPLACED BY OTHER MEANS, HEART ASSIST DEVICE|PERSON ON OUTSIDE OF CAR INJURED IN COLLISION WITH SPORT UTILITY VEHICLE IN NONTRAFFIC ACCIDENT
V4322|ORGAN OR TISSUE REPLACED BY OTHER MEANS, FULLY IMPLANTABLE ARTIFICIAL HEART|PERSON ON OUTSIDE OF CAR INJURED IN COLLISION WITH OTHER TYPE CAR IN NONTRAFFIC ACCIDENT
V433|HEART VALVE REPLACED BY OTHER MEANS|UNSPECIFIED CAR OCCUPANT INJURED IN COLLISION WITH CAR, PICK-UP TRUCK OR VAN IN NONTRAFFIC ACCIDENT
V434|BLOOD VESSEL REPLACED BY OTHER MEANS|PERSON BOARDING OR ALIGHTING A CAR INJURED IN COLLISION WITH CAR, PICK-UP TRUCK OR VAN
V435|BLADDER REPLACED BY OTHER MEANS|CAR DRIVER INJURED IN COLLISION WITH CAR, PICK-UP TRUCK OR VAN IN TRAFFIC ACCIDENT
V436|JOINT REPLACED BY OTHER MEANS|CAR PASSENGER INJURED IN COLLISION WITH CAR, PICK-UP TRUCK OR VAN IN TRAFFIC ACCIDENT
V4361|SHOULDER JOINT REPLACEMENT|CAR PASSENGER INJURED IN COLLISION WITH SPORT UTILITY VEHICLE IN TRAFFIC ACCIDENT
V4362|ELBOW JOINT REPLACEMENT|CAR PASSENGER INJURED IN COLLISION WITH OTHER TYPE CAR IN TRAFFIC ACCIDENT
V4363|WRIST JOINT REPLACEMENT|CAR PASSENGER INJURED IN COLLISION WITH PICK-UP TRUCK IN TRAFFIC ACCIDENT
V4364|HIP JOINT REPLACEMENT|CAR PASSENGER INJURED IN COLLISION WITH VAN IN TRAFFIC ACCIDENT
V437|LIMB REPLACED BY OTHER MEANS|PERSON ON OUTSIDE OF CAR INJURED IN COLLISION WITH CAR, PICK-UP TRUCK OR VAN IN TRAFFIC ACCIDENT
V44|ARTIFICIAL OPENING STATUS|CAR OCCUPANT INJURED IN COLLISION WITH HEAVY TRANSPORT VEHICLE OR BUS
V440|TRACHEOSTOMY STATUS|CAR DRIVER INJURED IN COLLISION WITH HEAVY TRANSPORT VEHICLE OR BUS IN NONTRAFFIC ACCIDENT
V441|GASTROSTOMY STATUS|CAR PASSENGER INJURED IN COLLISION WITH HEAVY TRANSPORT VEHICLE OR BUS IN NONTRAFFIC ACCIDENT
V442|ILEOSTOMY STATUS|PERSON ON OUTSIDE OF CAR INJURED IN COLLISION WITH HEAVY TRANSPORT VEHICLE OR BUS IN NONTRAFFIC ACCIDENT
V443|COLOSTOMY STATUS|UNSPECIFIED CAR OCCUPANT INJURED IN COLLISION WITH HEAVY TRANSPORT VEHICLE OR BUS IN NONTRAFFIC ACCIDENT
V444|STATUS OF OTHER ARTIFICIAL OPENING OF GASTROINTESTINAL TRACT|PERSON BOARDING OR ALIGHTING A CAR INJURED IN COLLISION WITH HEAVY TRANSPORT VEHICLE OR BUS
V445|CYSTOSTOMY STATUS|CAR DRIVER INJURED IN COLLISION WITH HEAVY TRANSPORT VEHICLE OR BUS IN TRAFFIC ACCIDENT
V446|STATUS OF OTHER ARTIFICIAL OPENING OF URINARY TRACT|CAR PASSENGER INJURED IN COLLISION WITH HEAVY TRANSPORT VEHICLE OR BUS IN TRAFFIC ACCIDENT
V447|ARTIFICIAL VAGINA STATUS|PERSON ON OUTSIDE OF CAR INJURED IN COLLISION WITH HEAVY TRANSPORT VEHICLE OR BUS IN TRAFFIC ACCIDENT
V449|UNSPECIFIED ARTIFICIAL OPENING STATUS|UNSPECIFIED CAR OCCUPANT INJURED IN COLLISION WITH HEAVY TRANSPORT VEHICLE OR BUS IN TRAFFIC ACCIDENT
V45|OTHER POSTPROCEDURAL STATES|CAR OCCUPANT INJURED IN COLLISION WITH RAILWAY TRAIN OR RAILWAY VEHICLE
V450|POSTPROCEDURAL CARDIAC DEVICE IN SITU|CAR DRIVER INJURED IN COLLISION WITH RAILWAY TRAIN OR RAILWAY VEHICLE IN NONTRAFFIC ACCIDENT
V451|RENAL DIALYSIS STATUS|CAR PASSENGER INJURED IN COLLISION WITH RAILWAY TRAIN OR RAILWAY VEHICLE IN NONTRAFFIC ACCIDENT
V452|POSTPROCEDURAL PRESENCE OF CEREBROSPINAL FLUID DRAINAGE DEVICE|PERSON ON OUTSIDE OF CAR INJURED IN COLLISION WITH RAILWAY TRAIN OR RAILWAY VEHICLE IN NONTRAFFIC ACCIDENT
V453|POSTPROCEDURAL INTESTINAL BYPASS OR ANASTOMOSIS STATUS|UNSPECIFIED CAR OCCUPANT INJURED IN COLLISION WITH RAILWAY TRAIN OR RAILWAY VEHICLE IN NONTRAFFIC ACCIDENT
V454|POSTPROCEDURAL ARTHRODESIS STATUS|PERSON BOARDING OR ALIGHTING A CAR INJURED IN COLLISION WITH RAILWAY TRAIN OR RAILWAY VEHICLE
V455|POSTPROCEDURAL PRESENCE OF CONTRACEPTIVE DEVICE|CAR DRIVER INJURED IN COLLISION WITH RAILWAY TRAIN OR RAILWAY VEHICLE IN TRAFFIC ACCIDENT
V456|POSTPROCEDURAL STATES FOLLOWING SURGERY OF EYE AND ADNEXA|CAR PASSENGER INJURED IN COLLISION WITH RAILWAY TRAIN OR RAILWAY VEHICLE IN TRAFFIC ACCIDENT
V457|POSTPROCEDURAL ACQUIRED ABSENCE OF ORGAN|PERSON ON OUTSIDE OF CAR INJURED IN COLLISION WITH RAILWAY TRAIN OR RAILWAY VEHICLE IN TRAFFIC ACCIDENT
V46|OTHER DEPENDENCE ON MACHINES AND DEVICES|CAR OCCUPANT INJURED IN COLLISION WITH OTHER NONMOTOR VEHICLE
V460|DEPENDENCE ON ASPIRATOR|CAR DRIVER INJURED IN COLLISION WITH OTHER NONMOTOR VEHICLE IN NONTRAFFIC ACCIDENT
V461|RESPIRATOR [VENTILATOR]|CAR PASSENGER INJURED IN COLLISION WITH OTHER NONMOTOR VEHICLE IN NONTRAFFIC ACCIDENT
V462|OTHER DEPENDENCE ON MACHINES, SUPPLEMENTAL OXYGEN|PERSON ON OUTSIDE OF CAR INJURED IN COLLISION WITH OTHER NONMOTOR VEHICLE IN NONTRAFFIC ACCIDENT
V463|WHEELCHAIR DEPENDENCE|UNSPECIFIED CAR OCCUPANT INJURED IN COLLISION WITH OTHER NONMOTOR VEHICLE IN NONTRAFFIC ACCIDENT
V469|UNSPECIFIED MACHINE DEPENDENCE|UNSPECIFIED CAR OCCUPANT INJURED IN COLLISION WITH OTHER NONMOTOR VEHICLE IN TRAFFIC ACCIDENT
V47|OTHER PROBLEMS WITH INTERNAL ORGANS|CAR OCCUPANT INJURED IN COLLISION WITH FIXED OR STATIONARY OBJECT
V470|DEFICIENCIES OF INTERNAL ORGANS|CAR DRIVER INJURED IN COLLISION WITH FIXED OR STATIONARY OBJECT IN NONTRAFFIC ACCIDENT
V471|MECHANICAL AND MOTOR PROBLEMS WITH INTERNAL ORGANS|CAR PASSENGER INJURED IN COLLISION WITH FIXED OR STATIONARY OBJECT IN NONTRAFFIC ACCIDENT
V472|OTHER CARDIORESPIRATORY PROBLEMS|PERSON ON OUTSIDE OF CAR INJURED IN COLLISION WITH FIXED OR STATIONARY OBJECT IN NONTRAFFIC ACCIDENT
V473|OTHER DIGESTIVE PROBLEMS|UNSPECIFIED CAR OCCUPANT INJURED IN COLLISION WITH FIXED OR STATIONARY OBJECT IN NONTRAFFIC ACCIDENT
V474|OTHER URINARY PROBLEMS|PERSON BOARDING OR ALIGHTING A CAR INJURED IN COLLISION WITH FIXED OR STATIONARY OBJECT
V475|OTHER GENITAL PROBLEMS|CAR DRIVER INJURED IN COLLISION WITH FIXED OR STATIONARY OBJECT IN TRAFFIC ACCIDENT
V479|UNSPECIFIED PROBLEMS WITH INTERNAL ORGANS|UNSPECIFIED CAR OCCUPANT INJURED IN COLLISION WITH FIXED OR STATIONARY OBJECT IN TRAFFIC ACCIDENT
V48|PROBLEMS WITH HEAD, NECK, AND TRUNK|CAR OCCUPANT INJURED IN NONCOLLISION TRANSPORT ACCIDENT
V480|DEFICIENCIES OF HEAD|CAR DRIVER INJURED IN NONCOLLISION TRANSPORT ACCIDENT IN NONTRAFFIC ACCIDENT
V481|DEFICIENCIES OF NECK AND TRUNK|CAR PASSENGER INJURED IN NONCOLLISION TRANSPORT ACCIDENT IN NONTRAFFIC ACCIDENT
V482|MECHANICAL AND MOTOR PROBLEMS WITH HEAD|PERSON ON OUTSIDE OF CAR INJURED IN NONCOLLISION TRANSPORT ACCIDENT IN NONTRAFFIC ACCIDENT
V483|MECHANICAL AND MOTOR PROBLEMS WITH NECK AND TRUNK|UNSPECIFIED CAR OCCUPANT INJURED IN NONCOLLISION TRANSPORT ACCIDENT IN NONTRAFFIC ACCIDENT
V484|SENSORY PROBLEM WITH HEAD|PERSON BOARDING OR ALIGHTING A CAR INJURED IN NONCOLLISION TRANSPORT ACCIDENT
V485|SENSORY PROBLEM WITH NECK AND TRUNK|CAR DRIVER INJURED IN NONCOLLISION TRANSPORT ACCIDENT IN TRAFFIC ACCIDENT
V486|DISFIGUREMENTS OF HEAD|CAR PASSENGER INJURED IN NONCOLLISION TRANSPORT ACCIDENT IN TRAFFIC ACCIDENT
V487|DISFIGUREMENTS OF NECK AND TRUNK|PERSON ON OUTSIDE OF CAR INJURED IN NONCOLLISION TRANSPORT ACCIDENT IN TRAFFIC ACCIDENT
V489|UNSPECIFIED PROBLEM WITH HEAD, NECK, OR TRUNK|UNSPECIFIED CAR OCCUPANT INJURED IN NONCOLLISION TRANSPORT ACCIDENT IN TRAFFIC ACCIDENT
V49|OTHER CONDITIONS INFLUENCING HEALTH STATUS|CAR OCCUPANT INJURED IN OTHER AND UNSPECIFIED TRANSPORT ACCIDENTS
V490|DEFICIENCIES OF LIMBS|DRIVER INJURED IN COLLISION WITH OTHER AND UNSPECIFIED MOTOR VEHICLES IN NONTRAFFIC ACCIDENT
V491|MECHANICAL PROBLEMS WITH LIMBS|PASSENGER INJURED IN COLLISION WITH OTHER AND UNSPECIFIED MOTOR VEHICLES IN NONTRAFFIC ACCIDENT
V492|MOTOR PROBLEMS WITH LIMBS|UNSPECIFIED CAR OCCUPANT INJURED IN COLLISION WITH OTHER AND UNSPECIFIED MOTOR VEHICLES IN NONTRAFFIC ACCIDENT
V493|SENSORY PROBLEMS WITH LIMBS|CAR OCCUPANT (DRIVER) (PASSENGER) INJURED IN UNSPECIFIED NONTRAFFIC ACCIDENT
V494|DISFIGUREMENTS OF LIMBS|DRIVER INJURED IN COLLISION WITH OTHER AND UNSPECIFIED MOTOR VEHICLES IN TRAFFIC ACCIDENT
V495|OTHER PROBLEMS OF LIMBS|PASSENGER INJURED IN COLLISION WITH OTHER AND UNSPECIFIED MOTOR VEHICLES IN TRAFFIC ACCIDENT
V496|UPPER LIMB AMPUTATION STATUS|UNSPECIFIED CAR OCCUPANT INJURED IN COLLISION WITH OTHER AND UNSPECIFIED MOTOR VEHICLES IN TRAFFIC ACCIDENT
V4960|UNSPECIFIED LEVEL UPPER LIMB AMPUTATION STATUS|UNSPECIFIED CAR OCCUPANT INJURED IN COLLISION WITH UNSPECIFIED MOTOR VEHICLES IN TRAFFIC ACCIDENT
V498|OTHER SPECIFIED PROBLEMS INFLUENCING HEALTH STATUS|CAR OCCUPANT (DRIVER) (PASSENGER) INJURED IN OTHER SPECIFIED TRANSPORT ACCIDENTS
V4981|ASYMPTOMATIC POSTMENOPAUSAL STATUS (AGE-RELATED) (NATURAL)|CAR OCCUPANT (DRIVER) (PASSENGER) INJURED IN TRANSPORT ACCIDENT WITH MILITARY VEHICLE
V499|UNSPECIFIED PROBLEMS WITH LIMBS AND OTHER PROBLEMS|CAR OCCUPANT (DRIVER) (PASSENGER) INJURED IN UNSPECIFIED TRAFFIC ACCIDENT
V50|ELECTIVE SURGERY FOR PURPOSES OTHER THAN REMEDYING HEALTH STATES|OCCUPANT OF PICK-UP TRUCK OR VAN INJURED IN COLLISION WITH PEDESTRIAN OR ANIMAL
V500|ELECTIVE HAIR TRANSPLANT FOR PURPOSES OTHER THAN REMEDYING HEALTH STATES|DRIVER OF PICK-UP TRUCK OR VAN INJURED IN COLLISION WITH PEDESTRIAN OR ANIMAL IN NONTRAFFIC ACCIDENT
V501|OTHER PLASTIC SURGERY FOR UNACCEPTABLE COSMETIC APPEARANCE|PASSENGER IN PICK-UP TRUCK OR VAN INJURED IN COLLISION WITH PEDESTRIAN OR ANIMAL IN NONTRAFFIC ACCIDENT
V502|ROUTINE OR RITUAL CIRCUMCISION|PERSON ON OUTSIDE OF PICK-UP TRUCK OR VAN INJURED IN COLLISION WITH PEDESTRIAN OR ANIMAL IN NONTRAFFIC ACCIDENT
V503|EAR PIERCING|UNSPECIFIED OCCUPANT OF PICK-UP TRUCK OR VAN INJURED IN COLLISION WITH PEDESTRIAN OR ANIMAL IN NONTRAFFIC ACCIDENT
V504|PROPHYLACTIC GLAND REMOVAL|PERSON BOARDING OR ALIGHTING A PICK-UP TRUCK OR VAN INJURED IN COLLISION WITH PEDESTRIAN OR ANIMAL
V509|UNSPECIFIED ELECTIVE SURGERY FOR PURPOSES OTHER THAN REMEDYING HEALTH STATES|UNSPECIFIED OCCUPANT OF PICK-UP TRUCK OR VAN INJURED IN COLLISION WITH PEDESTRIAN OR ANIMAL IN TRAFFIC ACCIDENT
V51|AFTERCARE INVOLVING THE USE OF PLASTIC SURGERY|OCCUPANT OF PICK-UP TRUCK OR VAN INJURED IN COLLISION WITH PEDAL CYCLE
V510|ENCOUNTER FOR BREAST RECONSTRUCTION FOLLOWING MASTECTOMY|DRIVER OF PICK-UP TRUCK OR VAN INJURED IN COLLISION WITH PEDAL CYCLE IN NONTRAFFIC ACCIDENT
V52|FITTING AND ADJUSTMENT OF PROSTHETIC DEVICE AND IMPLANT|OCCUPANT OF PICK-UP TRUCK OR VAN INJURED IN COLLISION WITH TWO- OR THREE-WHEELED MOTOR VEHICLE
V520|FITTING AND ADJUSTMENT OF ARTIFICIAL ARM (COMPLETE) (PARTIAL)|DRIVER OF PICK-UP TRUCK OR VAN INJURED IN COLLISION WITH TWO- OR THREE-WHEELED MOTOR VEHICLE IN NONTRAFFIC ACCIDENT
V521|FITTING AND ADJUSTMENT OF ARTIFICIAL LEG (COMPLETE) (PARTIAL)|PASSENGER IN PICK-UP TRUCK OR VAN INJURED IN COLLISION WITH TWO- OR THREE-WHEELED MOTOR VEHICLE IN NONTRAFFIC ACCIDENT
V522|FITTING AND ADJUSTMENT OF ARTIFICIAL EYE|PERSON ON OUTSIDE OF PICK-UP TRUCK OR VAN INJURED IN COLLISION WITH TWO- OR THREE-WHEELED MOTOR VEHICLE IN NONTRAFFIC ACCIDENT
V523|FITTING AND ADJUSTMENT OF DENTAL PROSTHETIC DEVICE|UNSPECIFIED OCCUPANT OF PICK-UP TRUCK OR VAN INJURED IN COLLISION WITH TWO- OR THREE-WHEELED MOTOR VEHICLE IN NONTRAFFIC ACCIDENT
V524|FITTING AND ADJUSTMENT OF BREAST PROSTHESIS AND IMPLANT|PERSON BOARDING OR ALIGHTING A PICK-UP TRUCK OR VAN INJURED IN COLLISION WITH TWO- OR THREE-WHEELED MOTOR VEHICLE
V529|FITTING AND ADJUSTMENT OF UNSPECIFIED PROSTHETIC DEVICE|UNSPECIFIED OCCUPANT OF PICK-UP TRUCK OR VAN INJURED IN COLLISION WITH TWO- OR THREE-WHEELED MOTOR VEHICLE IN TRAFFIC ACCIDENT
V53|FITTING AND ADJUSTMENT OF OTHER DEVICE|OCCUPANT OF PICK-UP TRUCK OR VAN INJURED IN COLLISION WITH CAR, PICK-UP TRUCK OR VAN
V530|FITTING AND ADJUSTMENT OF DEVICES RELATED TO NERVOUS SYSTEM AND SPECIAL SENSES|DRIVER OF PICK-UP TRUCK OR VAN INJURED IN COLLISION WITH CAR, PICK-UP TRUCK OR VAN IN NONTRAFFIC ACCIDENT
V531|FITTING AND ADJUSTMENT OF SPECTACLES AND CONTACT LENSES|PASSENGER IN PICK-UP TRUCK OR VAN INJURED IN COLLISION WITH CAR, PICK-UP TRUCK OR VAN IN NONTRAFFIC ACCIDENT
V532|FITTING AND ADJUSTMENT OF HEARING AID|PERSON ON OUTSIDE OF PICK-UP TRUCK OR VAN INJURED IN COLLISION WITH CAR, PICK-UP TRUCK OR VAN IN NONTRAFFIC ACCIDENT
V533|FITTING AND ADJUSTMENT OF CARDIAC DEVICE|UNSPECIFIED OCCUPANT OF PICK-UP TRUCK OR VAN INJURED IN COLLISION WITH CAR, PICK-UP TRUCK OR VAN IN NONTRAFFIC ACCIDENT
V534|FITTING AND ADJUSTMENT OF ORTHODONTIC DEVICES|PERSON BOARDING OR ALIGHTING A PICK-UP TRUCK OR VAN INJURED IN COLLISION WITH CAR, PICK-UP TRUCK OR VAN
V535|FITTING AND ADJUSTMENT OF OTHER GASTROINTESTINAL APPLIANCE AND DEVICE|DRIVER OF PICK-UP TRUCK OR VAN INJURED IN COLLISION WITH CAR, PICK-UP TRUCK OR VAN IN TRAFFIC ACCIDENT
V536|FITTING AND ADJUSTMENT OF URINARY DEVICES|PASSENGER IN PICK-UP TRUCK OR VAN INJURED IN COLLISION WITH CAR, PICK-UP TRUCK OR VAN IN TRAFFIC ACCIDENT
V537|FITTING AND ADJUSTMENT OF ORTHOPEDIC DEVICES|PERSON ON OUTSIDE OF PICK-UP TRUCK OR VAN INJURED IN COLLISION WITH CAR, PICK-UP TRUCK OR VAN IN TRAFFIC ACCIDENT
V539|FITTING AND ADJUSTMENT OF OTHER AND UNSPECIFIED DEVICE|UNSPECIFIED OCCUPANT OF PICK-UP TRUCK OR VAN INJURED IN COLLISION WITH CAR, PICK-UP TRUCK OR VAN IN TRAFFIC ACCIDENT
V54|OTHER ORTHOPEDIC AFTERCARE|OCCUPANT OF PICK-UP TRUCK OR VAN INJURED IN COLLISION WITH HEAVY TRANSPORT VEHICLE OR BUS
V540|AFTERCARE INVOLVING INTERNAL FIXATION DEVICE|DRIVER OF PICK-UP TRUCK OR VAN INJURED IN COLLISION WITH HEAVY TRANSPORT VEHICLE OR BUS IN NONTRAFFIC ACCIDENT
V541|AFTERCARE FOR HEALING TRAUMATIC FRACTURE|PASSENGER IN PICK-UP TRUCK OR VAN INJURED IN COLLISION WITH HEAVY TRANSPORT VEHICLE OR BUS IN NONTRAFFIC ACCIDENT
V542|AFTERCARE FOR HEALING PATHOLOGIC FRACTURE|PERSON ON OUTSIDE OF PICK-UP TRUCK OR VAN INJURED IN COLLISION WITH HEAVY TRANSPORT VEHICLE OR BUS IN NONTRAFFIC ACCIDENT
V549|UNSPECIFIED ORTHOPEDIC AFTERCARE|UNSPECIFIED OCCUPANT OF PICK-UP TRUCK OR VAN INJURED IN COLLISION WITH HEAVY TRANSPORT VEHICLE OR BUS IN TRAFFIC ACCIDENT
V55|ATTENTION TO ARTIFICIAL OPENINGS|OCCUPANT OF PICK-UP TRUCK OR VAN INJURED IN COLLISION WITH RAILWAY TRAIN OR RAILWAY VEHICLE
V550|ATTENTION TO TRACHEOSTOMY|DRIVER OF PICK-UP TRUCK OR VAN INJURED IN COLLISION WITH RAILWAY TRAIN OR RAILWAY VEHICLE IN NONTRAFFIC ACCIDENT
