|Count|ICD10|ICD10_desc
26711|118|O8611|CERVICITIS FOLLOWING DELIVERY
26710|118|M71011|ABSCESS OF BURSA, RIGHT SHOULDER
26685|118|Z83430|FAMILY HISTORY OF ELEVATED LIPOPROTEIN(A)
26709|118|O34512|MATERNAL CARE FOR INCARCERATION OF GRAVID UTERUS, SECOND TRIMESTER
26707|118|L8932|PRESSURE ULCER OF LEFT BUTTOCK
26706|118|M4844XS|FATIGUE FRACTURE OF VERTEBRA, THORACIC REGION, SEQUELA OF FRACTURE
26705|118|H8013|OTOSCLEROSIS INVOLVING OVAL WINDOW, OBLITERATIVE, BILATERAL
26704|118|I6989|OTHER SEQUELAE OF OTHER CEREBROVASCULAR DISEASE
26703|118|H11149|CONJUNCTIVAL XEROSIS, UNSPECIFIED, UNSPECIFIED EYE
26702|118|H70011|SUBPERIOSTEAL ABSCESS OF MASTOID, RIGHT EAR
26784|117|T2026XD|BURN OF SECOND DEGREE OF FOREHEAD AND CHEEK, SUBSEQUENT ENCOUNTER
26789|117|S56901A|UNSPECIFIED INJURY OF UNSPECIFIED MUSCLES, FASCIA AND TENDONS AT FOREARM LEVEL, RIGHT ARM, INITIAL ENCOUNTER
26788|117|S52301P|UNSPECIFIED FRACTURE OF SHAFT OF RIGHT RADIUS, SUBSEQUENT ENCOUNTER FOR CLOSED FRACTURE WITH MALUNION
26787|117|S56125D|LACERATION OF FLEXOR MUSCLE, FASCIA AND TENDON OF RIGHT RING FINGER AT FOREARM LEVEL, SUBSEQUENT ENCOUNTER
26786|117|T472X2A|POISONING BY STIMULANT LAXATIVES, INTENTIONAL SELF-HARM, INITIAL ENCOUNTER
26785|117|T452X6A|UNDERDOSING OF VITAMINS, INITIAL ENCOUNTER
26778|117|M86342|CHRONIC MULTIFOCAL OSTEOMYELITIS, LEFT HAND
26783|117|T1502|FOREIGN BODY IN CORNEA, LEFT EYE
26782|117|T466X5S|ADVERSE EFFECT OF ANTIHYPERLIPIDEMIC AND ANTIARTERIOSCLEROTIC DRUGS, SEQUELA
26781|117|T63461S|TOXIC EFFECT OF VENOM OF WASPS, ACCIDENTAL (UNINTENTIONAL), SEQUELA
26780|117|M67252|SYNOVIAL HYPERTROPHY, NOT ELSEWHERE CLASSIFIED, LEFT THIGH
26779|117|M67839|OTHER SPECIFIED DISORDERS OF SYNOVIUM AND TENDON, UNSPECIFIED WRIST
26791|117|Q551|HYPOPLASIA OF TESTIS AND SCROTUM
26790|117|S52572C|OTHER INTRAARTICULAR FRACTURE OF LOWER END OF LEFT RADIUS, INITIAL ENCOUNTER FOR OPEN FRACTURE TYPE IIIA, IIIB, OR IIIC
26798|117|S24112S|COMPLETE LESION AT T2-T6 LEVEL OF THORACIC SPINAL CORD, SEQUELA
26792|117|Q128|OTHER CONGENITAL LENS MALFORMATIONS
26793|117|S0267XB|FRACTURE OF ALVEOLUS OF MANDIBLE, INITIAL ENCOUNTER FOR OPEN FRACTURE
26794|117|S36030D|SUPERFICIAL (CAPSULAR) LACERATION OF SPLEEN, SUBSEQUENT ENCOUNTER
26795|117|S42241S|4-PART FRACTURE OF SURGICAL NECK OF RIGHT HUMERUS, SEQUELA
26796|117|S2763XA|LACERATION OF PLEURA, INITIAL ENCOUNTER
26797|117|S3982|OTHER SPECIFIED INJURIES OF LOWER BACK
26799|117|S22079S|UNSPECIFIED FRACTURE OF T9-T10 VERTEBRA, SEQUELA
26800|117|S42334D|NONDISPLACED OBLIQUE FRACTURE OF SHAFT OF HUMERUS, RIGHT ARM, SUBSEQUENT ENCOUNTER FOR FRACTURE WITH ROUTINE HEALING
26801|117|S37019D|MINOR CONTUSION OF UNSPECIFIED KIDNEY, SUBSEQUENT ENCOUNTER
26802|117|S32442D|DISPLACED FRACTURE OF POSTERIOR COLUMN [ILIOISCHIAL] OF LEFT ACETABULUM, SUBSEQUENT ENCOUNTER FOR FRACTURE WITH ROUTINE HEALING
26803|117|A5272|SYPHILIS OF LUNG AND BRONCHUS
26804|117|E103492|TYPE 1 DIABETES MELLITUS WITH SEVERE NONPROLIFERATIVE DIABETIC RETINOPATHY WITHOUT MACULAR EDEMA, LEFT EYE
26805|117|A740|CHLAMYDIAL CONJUNCTIVITIS
26777|117|O4112|CHORIOAMNIONITIS
26806|117|D0910|CARCINOMA IN SITU OF UNSPECIFIED URINARY ORGAN
26775|117|M60829|OTHER MYOSITIS, UNSPECIFIED UPPER ARM
26776|117|M86269|SUBACUTE OSTEOMYELITIS, UNSPECIFIED TIBIA AND FIBULA
26759|117|S91332S|PUNCTURE WOUND WITHOUT FOREIGN BODY, LEFT FOOT, SEQUELA
26774|117|M11871|OTHER SPECIFIED CRYSTAL ARTHROPATHIES, RIGHT ANKLE AND FOOT
26747|117|S66022S|LACERATION OF LONG FLEXOR MUSCLE, FASCIA AND TENDON OF LEFT THUMB AT WRIST AND HAND LEVEL, SEQUELA
26748|117|S62122D|DISPLACED FRACTURE OF LUNATE [SEMILUNAR], LEFT WRIST, SUBSEQUENT ENCOUNTER FOR FRACTURE WITH ROUTINE HEALING
26749|117|S62135A|NONDISPLACED FRACTURE OF CAPITATE [OS MAGNUM] BONE, LEFT WRIST, INITIAL ENCOUNTER FOR CLOSED FRACTURE
26750|117|S638X9D|SPRAIN OF OTHER PART OF UNSPECIFIED WRIST AND HAND, SUBSEQUENT ENCOUNTER
26751|117|S72012K|UNSPECIFIED INTRACAPSULAR FRACTURE OF LEFT FEMUR, SUBSEQUENT ENCOUNTER FOR CLOSED FRACTURE WITH NONUNION
26752|117|S71001S|UNSPECIFIED OPEN WOUND, RIGHT HIP, SEQUELA
26753|117|S73121A|ISCHIOCAPSULAR LIGAMENT SPRAIN OF RIGHT HIP, INITIAL ENCOUNTER
26754|117|S728X9A|OTHER FRACTURE OF UNSPECIFIED FEMUR, INITIAL ENCOUNTER FOR CLOSED FRACTURE
26755|117|S72471D|TORUS FRACTURE OF LOWER END OF RIGHT FEMUR, SUBSEQUENT ENCOUNTER FOR FRACTURE WITH ROUTINE HEALING
26756|117|S86801A|UNSPECIFIED INJURY OF OTHER MUSCLE(S) AND TENDON(S) AT LOWER LEG LEVEL, RIGHT LEG, INITIAL ENCOUNTER
26757|117|S89021D|SALTER-HARRIS TYPE II PHYSEAL FRACTURE OF UPPER END OF RIGHT TIBIA, SUBSEQUENT ENCOUNTER FOR FRACTURE WITH ROUTINE HEALING
26758|117|S91019A|LACERATION WITHOUT FOREIGN BODY, UNSPECIFIED ANKLE, INITIAL ENCOUNTER
26746|117|Y752|PROSTHETIC AND OTHER IMPLANTS, MATERIALS AND NEUROLOGICAL DEVICES ASSOCIATED WITH ADVERSE INCIDENTS
26760|117|S9231|FRACTURE OF FIRST METATARSAL BONE
26768|117|M05141|RHEUMATOID LUNG DISEASE WITH RHEUMATOID ARTHRITIS OF RIGHT HAND
26761|117|S8265XE|NONDISPLACED FRACTURE OF LATERAL MALLEOLUS OF LEFT FIBULA, SUBSEQUENT ENCOUNTER FOR OPEN FRACTURE TYPE I OR II WITH ROUTINE HEALING
26772|117|M1A0791|IDIOPATHIC CHRONIC GOUT, UNSPECIFIED ANKLE AND FOOT, WITH TOPHUS (TOPHI)
26771|117|M13179|MONOARTHRITIS, NOT ELSEWHERE CLASSIFIED, UNSPECIFIED ANKLE AND FOOT
26770|117|L759|APOCRINE SWEAT DISORDER, UNSPECIFIED
26769|117|M6618|RUPTURE OF SYNOVIUM, OTHER SITE
26773|117|M62269|NONTRAUMATIC ISCHEMIC INFARCTION OF MUSCLE, UNSPECIFIED LOWER LEG
26767|117|L89021|PRESSURE ULCER OF LEFT ELBOW, STAGE 1
26765|117|I7401|SADDLE EMBOLUS OF ABDOMINAL AORTA
26764|117|H7310|CHRONIC MYRINGITIS, UNSPECIFIED EAR
26763|117|H02121|MECHANICAL ECTROPION OF RIGHT UPPER EYELID
26766|117|K4100|BILATERAL FEMORAL HERNIA, WITH OBSTRUCTION, WITHOUT GANGRENE, NOT SPECIFIED AS RECURRENT
26762|117|H02815|RETAINED FOREIGN BODY IN LEFT LOWER EYELID
26845|116|N6121|GRANULOMATOUS MASTITIS, RIGHT BREAST
26849|116|T17910A|GASTRIC CONTENTS IN RESPIRATORY TRACT, PART UNSPECIFIED CAUSING ASPHYXIATION, INITIAL ENCOUNTER
26848|116|T361X2A|POISONING BY CEPHALOSPORINS AND OTHER BETA-LACTAM ANTIBIOTICS, INTENTIONAL SELF-HARM, INITIAL ENCOUNTER
26847|116|S98212A|COMPLETE TRAUMATIC AMPUTATION OF TWO OR MORE LEFT LESSER TOES, INITIAL ENCOUNTER
26846|116|M80051K|AGE-RELATED OSTEOPOROSIS WITH CURRENT PATHOLOGICAL FRACTURE, RIGHT FEMUR, SUBSEQUENT ENCOUNTER FOR FRACTURE WITH NONUNION
26842|116|N35021|URETHRAL STRICTURE DUE TO CHILDBIRTH
26844|116|M84362K|STRESS FRACTURE, LEFT TIBIA, SUBSEQUENT ENCOUNTER FOR FRACTURE WITH NONUNION
26843|116|O321XX3|MATERNAL CARE FOR BREECH PRESENTATION, FETUS 3
26841|116|O365132|MATERNAL CARE FOR KNOWN OR SUSPECTED PLACENTAL INSUFFICIENCY, THIRD TRIMESTER, FETUS 2
26840|116|M87222|OSTEONECROSIS DUE TO PREVIOUS TRAUMA, LEFT HUMERUS
26838|116|M1A0621|IDIOPATHIC CHRONIC GOUT, LEFT KNEE, WITH TOPHUS (TOPHI)
26851|116|T433X1A|POISONING BY PHENOTHIAZINE ANTIPSYCHOTICS AND NEUROLEPTICS, ACCIDENTAL (UNINTENTIONAL), INITIAL ENCOUNTER
26850|116|T40415A|ADVERSE EFFECT OF FENTANYL OR FENTANYL ANALOGS, INITIAL ENCOUNTER
26858|116|S2002XD|CONTUSION OF LEFT BREAST, SUBSEQUENT ENCOUNTER
26852|116|S52272E|MONTEGGIA'S FRACTURE OF LEFT ULNA, SUBSEQUENT ENCOUNTER FOR OPEN FRACTURE TYPE I OR II WITH ROUTINE HEALING
26853|116|S52602K|UNSPECIFIED FRACTURE OF LOWER END OF LEFT ULNA, SUBSEQUENT ENCOUNTER FOR CLOSED FRACTURE WITH NONUNION
26854|116|S56424D|LACERATION OF EXTENSOR MUSCLE, FASCIA AND TENDON OF LEFT MIDDLE FINGER AT FOREARM LEVEL, SUBSEQUENT ENCOUNTER
26855|116|S56101D|UNSPECIFIED INJURY OF FLEXOR MUSCLE, FASCIA AND TENDON OF RIGHT INDEX FINGER AT FOREARM LEVEL, SUBSEQUENT ENCOUNTER
26856|116|S49092A|OTHER PHYSEAL FRACTURE OF UPPER END OF HUMERUS, LEFT ARM, INITIAL ENCOUNTER FOR CLOSED FRACTURE
26857|116|S00269A|INSECT BITE (NONVENOMOUS) OF UNSPECIFIED EYELID AND PERIOCULAR AREA, INITIAL ENCOUNTER
26859|116|P708|OTHER TRANSITORY DISORDERS OF CARBOHYDRATE METABOLISM OF NEWBORN
26860|116|Q7132|CONGENITAL ABSENCE OF LEFT HAND AND FINGER
26861|116|S42254K|NONDISPLACED FRACTURE OF GREATER TUBEROSITY OF RIGHT HUMERUS, SUBSEQUENT ENCOUNTER FOR FRACTURE WITH NONUNION
26862|116|S32612D|DISPLACED AVULSION FRACTURE OF LEFT ISCHIUM, SUBSEQUENT ENCOUNTER FOR FRACTURE WITH ROUTINE HEALING
26863|116|C104|MALIGNANT NEOPLASM OF BRANCHIAL CLEFT
26864|116|C301|MALIGNANT NEOPLASM OF MIDDLE EAR
26836|116|M2116|VARUS DEFORMITY, NOT ELSEWHERE CLASSIFIED, KNEE
26837|116|L02622|FURUNCLE OF LEFT FOOT
26839|116|M08071|UNSPECIFIED JUVENILE RHEUMATOID ARTHRITIS, RIGHT ANKLE AND FOOT
26835|116|H43319|VITREOUS MEMBRANES AND STRANDS, UNSPECIFIED EYE
26821|116|S86012|STRAIN OF LEFT ACHILLES TENDON
26834|116|H11412|VASCULAR ABNORMALITIES OF CONJUNCTIVA, LEFT EYE
26808|116|T84113A|BREAKDOWN (MECHANICAL) OF INTERNAL FIXATION DEVICE OF BONE OF LEFT FOREARM, INITIAL ENCOUNTER
26810|116|S62608S|FRACTURE OF UNSPECIFIED PHALANX OF OTHER FINGER, SEQUELA
26811|116|S62395B|OTHER FRACTURE OF FOURTH METACARPAL BONE, LEFT HAND, INITIAL ENCOUNTER FOR OPEN FRACTURE
26812|116|S62315B|DISPLACED FRACTURE OF BASE OF FOURTH METACARPAL BONE, LEFT HAND, INITIAL ENCOUNTER FOR OPEN FRACTURE
26813|116|S62640B|NONDISPLACED FRACTURE OF PROXIMAL PHALANX OF RIGHT INDEX FINGER, INITIAL ENCOUNTER FOR OPEN FRACTURE
26814|116|S60940D|UNSPECIFIED SUPERFICIAL INJURY OF RIGHT INDEX FINGER, SUBSEQUENT ENCOUNTER
26815|116|S6292|UNSPECIFIED FRACTURE OF LEFT WRIST AND HAND
26816|116|S63233A|SUBLUXATION OF PROXIMAL INTERPHALANGEAL JOINT OF LEFT MIDDLE FINGER, INITIAL ENCOUNTER
26817|116|S7611|STRAIN OF QUADRICEPS MUSCLE, FASCIA AND TENDON
26818|116|S9491XA|INJURY OF UNSPECIFIED NERVE AT ANKLE AND FOOT LEVEL, RIGHT LEG, INITIAL ENCOUNTER
26819|116|S89001G|UNSPECIFIED PHYSEAL FRACTURE OF UPPER END OF RIGHT TIBIA, SUBSEQUENT ENCOUNTER FOR FRACTURE WITH DELAYED HEALING
26820|116|S83529D|SPRAIN OF POSTERIOR CRUCIATE LIGAMENT OF UNSPECIFIED KNEE, SUBSEQUENT ENCOUNTER
26809|116|S63413D|TRAUMATIC RUPTURE OF COLLATERAL LIGAMENT OF LEFT MIDDLE FINGER AT METACARPOPHALANGEAL AND INTERPHALANGEAL JOINT, SUBSEQUENT ENCOUNTER
26822|116|S92201G|FRACTURE OF UNSPECIFIED TARSAL BONE(S) OF RIGHT FOOT, SUBSEQUENT ENCOUNTER FOR FRACTURE WITH DELAYED HEALING
26829|116|S92101K|UNSPECIFIED FRACTURE OF RIGHT TALUS, SUBSEQUENT ENCOUNTER FOR FRACTURE WITH NONUNION
26823|116|S93331D|OTHER SUBLUXATION OF RIGHT FOOT, SUBSEQUENT ENCOUNTER
26833|116|H30101|UNSPECIFIED DISSEMINATED CHORIORETINAL INFLAMMATION, RIGHT EYE
26832|116|H2633|DRUG-INDUCED CATARACT, BILATERAL
26831|116|H3535|CYSTOID MACULAR DEGENERATION
26830|116|H21303|IDIOPATHIC CYSTS OF IRIS, CILIARY BODY OR ANTERIOR CHAMBER, BILATERAL
26807|116|T82328A|DISPLACEMENT OF OTHER VASCULAR GRAFTS, INITIAL ENCOUNTER
26828|116|S93304D|UNSPECIFIED DISLOCATION OF RIGHT FOOT, SUBSEQUENT ENCOUNTER
26826|116|S83512|SPRAIN OF ANTERIOR CRUCIATE LIGAMENT OF LEFT KNEE
26825|116|S93142A|SUBLUXATION OF METATARSOPHALANGEAL JOINT OF LEFT GREAT TOE, INITIAL ENCOUNTER
26827|116|S92064D|NONDISPLACED INTRAARTICULAR FRACTURE OF RIGHT CALCANEUS, SUBSEQUENT ENCOUNTER FOR FRACTURE WITH ROUTINE HEALING
26824|116|S82856D|NONDISPLACED TRIMALLEOLAR FRACTURE OF UNSPECIFIED LOWER LEG, SUBSEQUENT ENCOUNTER FOR CLOSED FRACTURE WITH ROUTINE HEALING
26899|115|S49001D|UNSPECIFIED PHYSEAL FRACTURE OF UPPER END OF HUMERUS, RIGHT ARM, SUBSEQUENT ENCOUNTER FOR FRACTURE WITH ROUTINE HEALING
26903|115|P2410|NEONATAL ASPIRATION OF (CLEAR) AMNIOTIC FLUID AND MUCUS WITHOUT RESPIRATORY SYMPTOMS
26902|115|S069X6D|UNSPECIFIED INTRACRANIAL INJURY WITH LOSS OF CONSCIOUSNESS GREATER THAN 24 HOURS WITHOUT RETURN TO PRE-EXISTING CONSCIOUS LEVEL WITH PATIENT SURVIVING, SUBSEQUENT ENCOUNTER
26901|115|S55111D|LACERATION OF RADIAL ARTERY AT FOREARM LEVEL, RIGHT ARM, SUBSEQUENT ENCOUNTER
26900|115|S43202A|UNSPECIFIED SUBLUXATION OF LEFT STERNOCLAVICULAR JOINT, INITIAL ENCOUNTER
26897|115|T25231D|BURN OF SECOND DEGREE OF RIGHT TOE(S) (NAIL), SUBSEQUENT ENCOUNTER
26898|115|T505X2A|POISONING BY APPETITE DEPRESSANTS, INTENTIONAL SELF-HARM, INITIAL ENCOUNTER
26896|115|T22092A|BURN OF UNSPECIFIED DEGREE OF MULTIPLE SITES OF LEFT SHOULDER AND UPPER LIMB, EXCEPT WRIST AND HAND, INITIAL ENCOUNTER
26895|115|T24212S|BURN OF SECOND DEGREE OF LEFT THIGH, SEQUELA
26905|115|S22052G|UNSTABLE BURST FRACTURE OF T5-T6 VERTEBRA, SUBSEQUENT ENCOUNTER FOR FRACTURE WITH DELAYED HEALING
26894|115|M86321|CHRONIC MULTIFOCAL OSTEOMYELITIS, RIGHT HUMERUS
26904|115|S08112A|COMPLETE TRAUMATIC AMPUTATION OF LEFT EAR, INITIAL ENCOUNTER
26911|115|S42309B|UNSPECIFIED FRACTURE OF SHAFT OF HUMERUS, UNSPECIFIED ARM, INITIAL ENCOUNTER FOR OPEN FRACTURE
26906|115|S3510XA|UNSPECIFIED INJURY OF INFERIOR VENA CAVA, INITIAL ENCOUNTER
26907|115|S42031B|DISPLACED FRACTURE OF LATERAL END OF RIGHT CLAVICLE, INITIAL ENCOUNTER FOR OPEN FRACTURE
26908|115|S31624A|LACERATION WITH FOREIGN BODY OF ABDOMINAL WALL, LEFT LOWER QUADRANT WITH PENETRATION INTO PERITONEAL CAVITY, INITIAL ENCOUNTER
26909|115|S2601XA|CONTUSION OF HEART WITH HEMOPERICARDIUM, INITIAL ENCOUNTER
26910|115|S3259|OTHER SPECIFIED FRACTURE OF PUBIS
26912|115|S42212B|UNSPECIFIED DISPLACED FRACTURE OF SURGICAL NECK OF LEFT HUMERUS, INITIAL ENCOUNTER FOR OPEN FRACTURE
26913|115|D299|BENIGN NEOPLASM OF MALE GENITAL ORGAN, UNSPECIFIED
26914|115|F1699|HALLUCINOGEN USE, UNSPECIFIED WITH UNSPECIFIED HALLUCINOGEN-INDUCED DISORDER
26915|115|A431|CUTANEOUS NOCARDIOSIS
26916|115|F1513|OTHER STIMULANT ABUSE WITH WITHDRAWAL
26892|115|O9831|OTHER INFECTIONS WITH A PREDOMINANTLY SEXUAL MODE OF TRANSMISSION COMPLICATING PREGNANCY
26893|115|O361911|MATERNAL CARE FOR OTHER ISOIMMUNIZATION, FIRST TRIMESTER, FETUS 1
26891|115|O00209|UNSPECIFIED OVARIAN PREGNANCY WITHOUT INTRAUTERINE PREGNANCY
26871|115|S62617K|DISPLACED FRACTURE OF PROXIMAL PHALANX OF LEFT LITTLE FINGER, SUBSEQUENT ENCOUNTER FOR FRACTURE WITH NONUNION
26878|115|S82402G|UNSPECIFIED FRACTURE OF SHAFT OF LEFT FIBULA, SUBSEQUENT ENCOUNTER FOR CLOSED FRACTURE WITH DELAYED HEALING
26890|115|M84434S|PATHOLOGICAL FRACTURE, LEFT RADIUS, SEQUELA
26866|115|Z2803|IMMUNIZATION NOT CARRIED OUT BECAUSE OF IMMUNE COMPROMISED STATE OF PATIENT
26867|115|T6394XD|TOXIC EFFECT OF CONTACT WITH UNSPECIFIED VENOMOUS ANIMAL, UNDETERMINED, SUBSEQUENT ENCOUNTER
26868|115|T84053D|PERIPROSTHETIC OSTEOLYSIS OF INTERNAL PROSTHETIC LEFT KNEE JOINT, SUBSEQUENT ENCOUNTER
26869|115|T83418A|BREAKDOWN (MECHANICAL) OF OTHER PROSTHETIC DEVICES, IMPLANTS AND GRAFTS OF GENITAL TRACT, INITIAL ENCOUNTER
26870|115|S66396A|OTHER INJURY OF EXTENSOR MUSCLE, FASCIA AND TENDON OF RIGHT LITTLE FINGER AT WRIST AND HAND LEVEL, INITIAL ENCOUNTER
26872|115|S66919D|STRAIN OF UNSPECIFIED MUSCLE, FASCIA AND TENDON AT WRIST AND HAND LEVEL, UNSPECIFIED HAND, SUBSEQUENT ENCOUNTER
26873|115|S62657B|NONDISPLACED FRACTURE OF MIDDLE PHALANX OF LEFT LITTLE FINGER, INITIAL ENCOUNTER FOR OPEN FRACTURE
26874|115|S73034D|OTHER ANTERIOR DISLOCATION OF RIGHT HIP, SUBSEQUENT ENCOUNTER
26876|115|S68113D|COMPLETE TRAUMATIC METACARPOPHALANGEAL AMPUTATION OF LEFT MIDDLE FINGER, SUBSEQUENT ENCOUNTER
26877|115|S72423A|DISPLACED FRACTURE OF LATERAL CONDYLE OF UNSPECIFIED FEMUR, INITIAL ENCOUNTER FOR CLOSED FRACTURE
26875|115|S72433A|DISPLACED FRACTURE OF MEDIAL CONDYLE OF UNSPECIFIED FEMUR, INITIAL ENCOUNTER FOR CLOSED FRACTURE
26879|115|S82261K|DISPLACED SEGMENTAL FRACTURE OF SHAFT OF RIGHT TIBIA, SUBSEQUENT ENCOUNTER FOR CLOSED FRACTURE WITH NONUNION
26884|115|I70513|ATHEROSCLEROSIS OF NONAUTOLOGOUS BIOLOGICAL BYPASS GRAFT(S) OF THE EXTREMITIES WITH INTERMITTENT CLAUDICATION, BILATERAL LEGS
26889|115|M21232|FLEXION DEFORMITY, LEFT WRIST
26888|115|M2542|EFFUSION, ELBOW
26887|115|H10222|PSEUDOMEMBRANOUS CONJUNCTIVITIS, LEFT EYE
26880|115|S72124D|NONDISPLACED FRACTURE OF LESSER TROCHANTER OF RIGHT FEMUR, SUBSEQUENT ENCOUNTER FOR CLOSED FRACTURE WITH ROUTINE HEALING
26885|115|H35049|RETINAL MICRO-ANEURYSMS, UNSPECIFIED, UNSPECIFIED EYE
26886|115|H05029|OSTEOMYELITIS OF UNSPECIFIED ORBIT
26883|115|S8265XB|NONDISPLACED FRACTURE OF LATERAL MALLEOLUS OF LEFT FIBULA, INITIAL ENCOUNTER FOR OPEN FRACTURE TYPE I OR II
26882|115|S8982|OTHER SPECIFIED INJURIES OF LEFT LOWER LEG
26881|115|S83006S|UNSPECIFIED DISLOCATION OF UNSPECIFIED PATELLA, SEQUELA
26865|115|T8589XS|OTHER SPECIFIED COMPLICATION OF INTERNAL PROSTHETIC DEVICES, IMPLANTS AND GRAFTS, NOT ELSEWHERE CLASSIFIED, SEQUELA
26960|114|S43421|SPRAIN OF RIGHT ROTATOR CUFF CAPSULE
26959|114|T43592D|POISONING BY OTHER ANTIPSYCHOTICS AND NEUROLEPTICS, INTENTIONAL SELF-HARM, SUBSEQUENT ENCOUNTER
26955|114|T496X5A|ADVERSE EFFECT OF OTORHINOLARYNGOLOGICAL DRUGS AND PREPARATIONS, INITIAL ENCOUNTER
26958|114|T183XXD|FOREIGN BODY IN SMALL INTESTINE, SUBSEQUENT ENCOUNTER
26957|114|T43691A|POISONING BY OTHER PSYCHOSTIMULANTS, ACCIDENTAL (UNINTENTIONAL), INITIAL ENCOUNTER
26956|114|T6191XA|TOXIC EFFECT OF UNSPECIFIED SEAFOOD, ACCIDENTAL (UNINTENTIONAL), INITIAL ENCOUNTER
26947|114|O644XX0|OBSTRUCTED LABOR DUE TO SHOULDER PRESENTATION, NOT APPLICABLE OR UNSPECIFIED
26954|114|T192XXD|FOREIGN BODY IN VULVA AND VAGINA, SUBSEQUENT ENCOUNTER
26952|114|T2013XA|BURN OF FIRST DEGREE OF CHIN, INITIAL ENCOUNTER
26951|114|T22252D|BURN OF SECOND DEGREE OF LEFT SHOULDER, SUBSEQUENT ENCOUNTER
26950|114|M93032|ACUTE ON CHRONIC SLIPPED UPPER FEMORAL EPIPHYSIS (NONTRAUMATIC), LEFT HIP
26949|114|O691XX2|LABOR AND DELIVERY COMPLICATED BY CORD AROUND NECK, WITH COMPRESSION, FETUS 2
26962|114|S51042A|PUNCTURE WOUND WITH FOREIGN BODY OF LEFT ELBOW, INITIAL ENCOUNTER
26961|114|S46992A|OTHER INJURY OF UNSPECIFIED MUSCLE, FASCIA AND TENDON AT SHOULDER AND UPPER ARM LEVEL, LEFT ARM, INITIAL ENCOUNTER
26975|114|E70328|OTHER OCULOCUTANEOUS ALBINISM
26963|114|S52012A|TORUS FRACTURE OF UPPER END OF LEFT ULNA, INITIAL ENCOUNTER FOR CLOSED FRACTURE
26964|114|P836|UMBILICAL POLYP OF NEWBORN
26965|114|S14102D|UNSPECIFIED INJURY AT C2 LEVEL OF CERVICAL SPINAL CORD, SUBSEQUENT ENCOUNTER
26966|114|S0086XD|INSECT BITE (NONVENOMOUS) OF OTHER PART OF HEAD, SUBSEQUENT ENCOUNTER
26967|114|S01551D|OPEN BITE OF LIP, SUBSEQUENT ENCOUNTER
26968|114|S02670A|FRACTURE OF ALVEOLUS OF MANDIBLE, UNSPECIFIED SIDE, INITIAL ENCOUNTER FOR CLOSED FRACTURE
26969|114|S32039K|UNSPECIFIED FRACTURE OF THIRD LUMBAR VERTEBRA, SUBSEQUENT ENCOUNTER FOR FRACTURE WITH NONUNION
26970|114|S42102G|FRACTURE OF UNSPECIFIED PART OF SCAPULA, LEFT SHOULDER, SUBSEQUENT ENCOUNTER FOR FRACTURE WITH DELAYED HEALING
26971|114|S42309K|UNSPECIFIED FRACTURE OF SHAFT OF HUMERUS, UNSPECIFIED ARM, SUBSEQUENT ENCOUNTER FOR FRACTURE WITH NONUNION
26972|114|S42222B|2-PART DISPLACED FRACTURE OF SURGICAL NECK OF LEFT HUMERUS, INITIAL ENCOUNTER FOR OPEN FRACTURE
26973|114|S248XXA|INJURY OF OTHER SPECIFIED NERVES OF THORAX, INITIAL ENCOUNTER
26974|114|A8109|OTHER CREUTZFELDT-JAKOB DISEASE
26976|114|D023|CARCINOMA IN SITU OF OTHER PARTS OF RESPIRATORY SYSTEM
26948|114|O2359|INFECTION OF OTHER PART OF GENITAL TRACT IN PREGNANCY
26953|114|T63421S|TOXIC EFFECT OF VENOM OF ANTS, ACCIDENTAL (UNINTENTIONAL), SEQUELA
26946|114|L97508|NON-PRESSURE CHRONIC ULCER OF OTHER PART OF UNSPECIFIED FOOT WITH OTHER SPECIFIED SEVERITY
26930|114|S68613D|COMPLETE TRAUMATIC TRANSPHALANGEAL AMPUTATION OF LEFT MIDDLE FINGER, SUBSEQUENT ENCOUNTER
26945|114|L688|OTHER HYPERTRICHOSIS
26917|114|Z9071|ACQUIRED ABSENCE OF CERVIX AND UTERUS
26918|114|Z3681|ENCOUNTER FOR ANTENATAL SCREENING FOR HYDROPS FETALIS
26919|114|Z16342|RESISTANCE TO MULTIPLE ANTIMYCOBACTERIAL DRUGS
26920|114|T83120A|DISPLACEMENT OF URINARY ELECTRONIC STIMULATOR DEVICE, INITIAL ENCOUNTER
26921|114|T8501XD|BREAKDOWN (MECHANICAL) OF VENTRICULAR INTRACRANIAL (COMMUNICATING) SHUNT, SUBSEQUENT ENCOUNTER
26922|114|T82190D|OTHER MECHANICAL COMPLICATION OF CARDIAC ELECTRODE, SUBSEQUENT ENCOUNTER
26923|114|T84119A|BREAKDOWN (MECHANICAL) OF INTERNAL FIXATION DEVICE OF UNSPECIFIED BONE OF LIMB, INITIAL ENCOUNTER
26925|114|S62221D|DISPLACED ROLANDO'S FRACTURE, RIGHT HAND, SUBSEQUENT ENCOUNTER FOR FRACTURE WITH ROUTINE HEALING
26926|114|S82152S|DISPLACED FRACTURE OF LEFT TIBIAL TUBEROSITY, SEQUELA
26927|114|S76822A|LACERATION OF OTHER SPECIFIED MUSCLES, FASCIA AND TENDONS AT THIGH LEVEL, LEFT THIGH, INITIAL ENCOUNTER
26928|114|S68512D|COMPLETE TRAUMATIC TRANSPHALANGEAL AMPUTATION OF LEFT THUMB, SUBSEQUENT ENCOUNTER
